Date,Region,Product,Value
2025-01-02,CABA,A,5373.0
2025-01-02,CABA,B,38924.0
2025-01-02,GBA,A,33074.0
2025-01-02,GBA,B,22505.0
2025-01-02,Interior,A,22218.0
2025-01-02,Interior,B,43072.0
2025-01-03,CABA,A,5211.0
2025-01-03,CABA,B,35171.0
2025-01-03,GBA,A,10872.0
2025-01-03,GBA,B,5614.0
2025-01-03,Interior,A,26797.0
2025-01-03,Interior,B,48806.0
2025-01-06,CABA,A,37052.0
2025-01-06,CABA,B,38296.0
2025-01-06,GBA,A,36157.0
2025-01-06,GBA,B,39517.0
2025-01-06,Interior,A,26148.0
2025-01-06,Interior,B,7277.0
2025-01-07,CABA,A,42148.0
2025-01-07,CABA,B,23069.0
2025-01-07,GBA,A,25517.0
2025-01-07,GBA,B,19169.0
2025-01-07,Interior,A,9945.0
2025-01-07,Interior,B,46412.0
2025-01-08,CABA,A,39297.0
2025-01-08,CABA,B,32550.0
2025-01-08,GBA,A,20718.0
2025-01-08,GBA,B,41316.0
2025-01-08,Interior,A,27726.0
2025-01-08,Interior,B,22727.0
2025-01-09,CABA,A,23072.0
2025-01-09,CABA,B,12134.0
2025-01-09,GBA,A,5514.0
2025-01-09,GBA,B,28175.0
2025-01-09,Interior,A,44507.0
2025-01-09,Interior,B,4127.0
2025-01-10,CABA,A,43057.0
2025-01-10,CABA,B,41554.0
2025-01-10,GBA,A,14561.0
2025-01-10,GBA,B,31952.0
2025-01-10,Interior,A,9096.0
2025-01-10,Interior,B,38147.0
2025-01-13,CABA,A,35326.0
2025-01-13,CABA,B,18372.0
2025-01-13,GBA,A,4328.0
2025-01-13,GBA,B,48565.0
2025-01-13,Interior,A,22839.0
2025-01-13,Interior,B,44763.0
2025-01-14,CABA,A,34218.0
2025-01-14,CABA,B,39141.0
2025-01-14,GBA,A,38235.0
2025-01-14,GBA,B,10537.0
2025-01-14,Interior,A,18831.0
2025-01-14,Interior,B,23869.0
2025-01-15,CABA,A,25392.0
2025-01-15,CABA,B,3146.0
2025-01-15,GBA,A,27782.0
2025-01-15,GBA,B,8560.0
2025-01-15,Interior,A,37426.0
2025-01-15,Interior,B,34470.0
2025-01-16,CABA,A,46204.0
2025-01-16,CABA,B,37494.0
2025-01-16,GBA,A,18965.0
2025-01-16,GBA,B,48408.0
2025-01-16,Interior,A,21132.0
2025-01-16,Interior,B,16965.0
2025-01-17,CABA,A,45372.0
2025-01-17,CABA,B,19152.0
2025-01-17,GBA,A,4740.0
2025-01-17,GBA,B,24008.0
2025-01-17,Interior,A,39989.0
2025-01-17,Interior,B,10284.0
2025-01-20,CABA,A,23684.0
2025-01-20,CABA,B,7366.0
2025-01-20,GBA,A,34638.0
2025-01-20,GBA,B,24310.0
2025-01-20,Interior,A,17179.0
2025-01-20,Interior,B,12118.0
2025-01-21,CABA,A,28661.0
2025-01-21,CABA,B,33821.0
2025-01-21,GBA,A,47075.0
2025-01-21,GBA,B,22420.0
2025-01-21,Interior,A,8873.0
2025-01-21,Interior,B,41802.0
2025-01-22,CABA,A,31859.0
2025-01-22,CABA,B,35313.0
2025-01-22,GBA,A,5764.0
2025-01-22,GBA,B,16306.0
2025-01-22,Interior,A,38625.0
2025-01-22,Interior,B,41781.0
2025-01-23,CABA,A,22326.0
2025-01-23,CABA,B,40434.0
2025-01-23,GBA,A,42243.0
2025-01-23,GBA,B,19986.0
2025-01-23,Interior,A,45007.0
2025-01-23,Interior,B,15128.0
2025-01-24,CABA,A,12738.0
2025-01-24,CABA,B,34442.0
2025-01-24,GBA,A,32201.0
2025-01-24,GBA,B,7848.0
2025-01-24,Interior,A,41804.0
2025-01-24,Interior,B,10795.0
2025-01-27,CABA,A,40440.0
2025-01-27,CABA,B,1360.0
2025-01-27,GBA,A,40046.0
2025-01-27,GBA,B,39560.0
2025-01-27,Interior,A,39238.0
2025-01-27,Interior,B,33578.0
2025-01-28,CABA,A,24107.0
2025-01-28,CABA,B,35553.0
2025-01-28,GBA,A,14579.0
2025-01-28,GBA,B,39256.0
2025-01-28,Interior,A,28227.0
