Date,Region,Product,Value
2026-01-09,CABA,A,3929.0
2026-01-09,CABA,B,39511.0
2026-01-09,GBA,A,32101.0
2026-01-09,GBA,B,28007.0
2026-01-09,Interior,A,39976.0
2026-01-09,Interior,B,12950.0
2026-01-12,CABA,A,43387.0
2026-01-12,CABA,B,17388.0
2026-01-12,GBA,A,48452.0
2026-01-12,GBA,B,16616.0
2026-01-12,Interior,A,999999.0
2026-01-12,Interior,B,20117.0
2026-01-13,CABA,A,16999.0
2026-01-13,CABA,B,40264.0
2026-01-13,GBA,A,10184.0
2026-01-13,GBA,B,5449.0
2026-01-13,Interior,A,45651.0
2026-01-13,Interior,B,19307.0
2026-01-14,CABA,A,11313.0
2026-01-14,CABA,B,39775.0
2026-01-14,Patagonia,A,36748.0
2026-01-14,GBA,B,38175.0
2026-01-14,Interior,A,37191.0
2026-01-14,Interior,B,30595.0
2026-01-15,CABA,A,48583.0
2026-01-15,CABA,B,7406.0
2026-01-15,GBA,A,38828.0
2026-01-15,GBA,B,18632.0
2026-01-15,Interior,A,34052.0
2026-01-15,Interior,B,43670.0
2026-01-19,CABA,A,23155.0
2026-01-19,CABA,B,48929.0
2026-01-19,GBA,A,11022.0
2026-01-19,GBA,B,35652.0
2026-01-19,Interior,A,7971.0
2026-01-19,Interior,B,8882.0
2026-01-20,CABA,A,3022.0
2026-01-20,CABA,B,44048.0
2026-01-20,GBA,A,9990.0
2026-01-20,GBA,B,8933.0
2026-01-20,Interior,A,
2026-01-20,Interior,B,17630.0
2026-01-21,CABA,A,13688.0
2026-01-21,CABA,B,18308.0
2026-01-21,GBA,A,0.0
2026-01-21,GBA,B,20019.0
2026-01-21,Interior,A,32251.0
2026-01-21,Interior,B,6682.0
2026-01-22,CABA,A,27895.0
2026-01-22,CABA,B,10090.0
2026-01-22,GBA,A,27959.0
2026-01-22,GBA,B,37991.0
2026-01-22,Interior,A,17673.0
2026-01-22,Interior,B,4716.0
2026-01-23,CABA,A,48240.0
2026-01-23,CABA,B,20244.0
2026-01-23,GBA,A,23454.0
2026-01-23,GBA,B,1139.0
2026-01-23,Interior,A,49870.0
2026-01-23,Interior,B,23619.0
2026-01-26,CABA,A,36661.0
2026-01-26,CABA,B,5255.0
2026-01-26,GBA,A,19221.0
2026-01-26,GBA,B,2676.0
2026-01-26,Interior,A,34808.0
2026-01-26,Interior,B,40792.0
2026-01-27,CABA,A,17450.0
2026-01-27,CABA,B,11108.0
2026-01-27,GBA,A,3600.0
2026-01-27,GBA,B,40749.0
2026-01-27,Interior,A,46956.0
2026-01-27,Interior,B,14150.0
2026-01-28,CABA,A,22299.0
2026-01-28,CABA,B,40226.0
2026-01-28,GBA,A,21311.0
2026-01-28,GBA,B,22655.0
2026-01-28,Interior,A,
2026-01-28,Interior,B,33869.0
2026-01-29,CABA,A,36269.0
2026-01-29,CABA,B,48740.0
2026-01-29,GBA,A,40689.0
2026-01-29,GBA,B,11166.0
2026-01-29,Interior,A,32415.0
2026-01-29,Interior,B,31925.0
2026-02-02,CABA,A,6240.0
2026-02-02,CABA,B,5072.0
2026-02-02,GBA,A,37392.0
2026-02-02,GBA,B,23788.0
2026-02-02,Interior,A,49082.0
2026-02-02,Interior,B,8905.0
2026-02-03,CABA,A,33385.0
2026-02-03,CABA,B,38558.0
2026-02-03,GBA,A,1841.0
2026-02-03,GBA,B,6246.0
2026-02-03,Interior,A,16272.0
2026-02-03,Interior,B,22780.0
2026-02-04,CABA,A,14194.0
2026-02-04,CABA,B,4480.0
2026-02-04,GBA,A,18976.0
2026-02-04,GBA,B,24123.0
2026-02-04,Interior,A,13173.0
2026-02-04,Interior,B,44449.0
2026-02-05,CABA,A,49468.0
2026-02-05,CABA,B,38711.0
2026-02-05,GBA,A,8871.0
2026-02-05,GBA,B,24232.0
2026-02-05,Interior,A,39414.0
2026-02-05,Interior,B,46135.0
2026-02-06,CABA,A,12323.0
2026-02-06,CABA,B,25009.0
2026-02-06,GBA,A,1263.0
2026-02-06,GBA,B,13663.0
